"unique_id","season","team","team_nick","team_name","team_logo_espn","team_color","pass_rate","rush_rate","proe","personnel_11","personnel_12","personnel_13","personnel_21","personnel_22","personnel_other","form_shotgun","form_single","form_iform","form_empty","form_other","adot","to_sticks","pass_left","pass_middle","pass_right","wr_target","te_target","rb_target","run_left","run_right","run_guard","run_tackle","run_end","go_fourth","go_two","rec_gini","rush_gini","personnel_gini","formation_gini","play_clock_used","plays_per_minute","avg_top","no_huddle"
"GB_2024","2024","GB","Packers","Green Bay Packers","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","#203731","0.5136986301369864","0.4863013698630137","-8.318576294498031","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","8.741127348643007","-0.12943632567849686","0.3862212943632568","0.2045929018789144","0.4091858037578288","0.6602564102564102","0.1858974358974359","0.15384615384615385","0.44","0.56","0.34285714285714286","0.2714285714285714","0.38571428571428573","0.1509433962264151","0.11538461538461539","0.6941451149425287","0.8533305093720216","","","40.0","","30:26","0.09099804305283757"
"HOU_2024","2024","HOU","Texans","Houston Texans","https://a.espncdn.com/i/teamlogos/nfl/500/hou.png","#03202F","0.6328871892925431","0.367112810707457","0.8265761244827585","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","8.17750439367311","-0.9824253075571178","0.335676625659051","0.2179261862917399","0.44639718804920914","0.6245421245421245","0.20146520146520147","0.17399267399267399","0.6225806451612903","0.3774193548387097","0.2870967741935484","0.3387096774193548","0.3741935483870968","0.13636363636363635","0.05263157894736842","0.6707038391224863","0.850328947368421","","","40.0","","30:44","0.055449330783938815"
"IND_2024","2024","IND","Colts","Indianapolis Colts","https://a.espncdn.com/i/teamlogos/nfl/500/ind.png","#002C5F","0.5502901353965184","0.4497098646034816","-8.50596690047619","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","10.632093933463796","1.4324853228962817","0.38943248532289626","0.20156555772994128","0.4090019569471624","0.7139959432048681","0.15415821501014199","0.13184584178498987","0.5227963525835866","0.47720364741641336","0.3282674772036474","0.3586626139817629","0.3130699088145897","0.21374045801526717","0.12195121951219512","0.7223915989159891","0.8722127900396152","","","40.0","","27:54","0.11218568665377177"
"JAX_2024","2024","JAX","Jaguars","Jacksonville Jaguars","https://a.espncdn.com/i/teamlogos/nfl/500/jax.png","#006778","0.6165489404641776","0.3834510595358224","-3.5226486716260164","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","8.41651376146789","-0.45688073394495415","0.3706422018348624","0.2036697247706422","0.42568807339449544","0.5784499054820416","0.2646502835538752","0.15689981096408318","0.47186147186147187","0.5281385281385281","0.3116883116883117","0.3463203463203463","0.341991341991342","0.2184873949579832","0.20588235294117646","0.6795977011494253","0.8518005540166205","","","40.0","","27:01","0.1311806256306761"
"KC_2024","2024","KC","Chiefs","Kansas City Chiefs","https://a.espncdn.com/i/teamlogos/nfl/500/kc.png","#E31837","0.6361085126286249","0.3638914873713751","5.189468792549203","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","6.366220735785953","-2.1187290969899664","0.3394648829431438","0.22909698996655517","0.431438127090301","0.4973730297723292","0.3380035026269702","0.1646234676007005","0.45768025078369906","0.542319749216301","0.4827586206896552","0.20689655172413793","0.3103448275862069","0.15178571428571427","0.04878048780487805","0.6372377622377622","0.839128670004059","","","40.0","","30:40","0.01216089803554724"
"LAC_2024","2024","LAC","Chargers","Los Angeles Chargers","https://a.espncdn.com/i/teamlogos/nfl/500/lac.png","#007BC7","0.5881763527054108","0.4118236472945892","-1.5297739895871096","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","8.607495069033531","-0.5581854043392505","0.3116370808678501","0.23471400394477318","0.4536489151873767","0.659919028340081","0.21862348178137653","0.1214574898785425","0.5686274509803921","0.43137254901960786","0.3235294117647059","0.3137254901960784","0.3627450980392157","0.12698412698412698","0.12195121951219512","0.6827053632043448","0.8259700345754898","","","40.0","","30:12","0.03807615230460922"
"LAR_2024","2024","LAR","Rams","Los Angeles Rams","https://a.espncdn.com/i/teamlogos/nfl/500/lar.png","#003594","0.5797665369649806","0.42023346303501946","-3.5958209114648434","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","7.39068100358423","-1.0268817204301075","0.4211469534050179","0.20430107526881722","0.37455197132616486","0.7463235294117647","0.15257352941176472","0.10110294117647059","0.4804270462633452","0.5195729537366548","0.36298932384341637","0.35587188612099646","0.28113879003558717","0.20512820512820512","0.1","0.6883086876155268","0.88182261208577","","","40.0","","29:10","0.08560311284046693"
"MIA_2024","2024","MIA","Dolphins","Miami Dolphins","https://a.espncdn.com/i/teamlogos/nfl/500/mia.png","#008E97","0.6133828996282528","0.38661710037174724","-2.5482332795518206","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","6.321976149914821","-2.577512776831346","0.3969335604770017","0.21976149914821125","0.3833049403747871","0.5113438045375218","0.2582897033158813","0.23036649214659685","0.5341614906832298","0.4658385093167702","0.2204968944099379","0.2795031055900621","0.5","0.248","0.15151515151515152","0.6955692488262911","0.8087044534412956","","","40.0","","31:39","0.056691449814126396"
"MIN_2024","2024","MIN","Vikings","Minnesota Vikings","https://a.espncdn.com/i/teamlogos/nfl/500/min.png","#4F2683","0.608357628765792","0.391642371234208","3.8929234098249026","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","8.457038391224863","-0.5082266910420475","0.3711151736745887","0.22486288848263253","0.4040219378427788","0.6081081081081081","0.22586872586872586","0.16602316602316602","0.5815384615384616","0.41846153846153844","0.3292307692307692","0.2676923076923077","0.40307692307692305","0.11926605504587157","0.02127659574468085","0.7560444874274661","0.8726655348047538","","","40.0","","30:05","0.1098153547133139"
"NE_2024","2024","NE","Patriots","New England Patriots","https://a.espncdn.com/i/teamlogos/nfl/500/ne.png","#002244","0.6258570029382958","0.37414299706170423","-3.0754197582300886","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","7.297912713472486","-1.6527514231499052","0.3225806451612903","0.23529411764705882","0.44212523719165087","0.5139442231075697","0.31673306772908366","0.1693227091633466","0.41904761904761906","0.580952380952381","0.3523809523809524","0.3238095238095238","0.3238095238095238","0.192","0.13333333333333333","0.6901666666666667","0.8567098374207771","","","40.0","","29:12","0.09500489715964741"
